;claim;entity;evidence;label
224;Zurp Ahtamn er en tidligere tennisspiller fra Iran.;['Zurp_Ahtamn'];['Zurp Ahtamn er en dansk dokumentarfilm fra 1971 instrueret af Nils Vest og efter manuskript af Flemming Quist Møller og Nils Vest.'];Refuted
225;Kvælstofbindere kan fiksere ilt.;['Kvælstofbindere'];['Kvælstofbindere er planter, der kan binde/fiksere kvælstof.'];Refuted
2138;Henri Dallier blev borgmester af Sankt-Eustache i 1879.;['Henri_Dallier'];"['Henri Édouard Dallier (20. marts 1849 – 23. december 1934) var en fransk organist. Han studerede orgel hos César Franck på Conservatoire de Paris og tilegnede sig førsteprisen i orgel og fuga i 1878. Han blev ""titulaire du grand orgue"" af Sankt-Eustache i 1879 og i 1905 efterfulgte han Gabriel Fauré på posten som organist ved Madeleinekirken.']";Refuted
2137;Hans Rantzau var repræsentant for statsmagten.;['Hans_Rantzau_(ca._1685-1744)'];['Hans Rantzau (ca. 1685 – 19. oktober 1744) var en holstensk godsejer og amtmand.'];Refuted
1404;TYPO3 er et projekt fra 1990 skrevet i PHP.;['TYPO3'];['TYPO3 er et open source-Content Management System (CMS) skrevet i PHP. Projektet blev startet i 1998 af danskeren Kasper Skårhøj.'];Refuted
2134;Blue Montain State vises i Danmark på TV-kanalen DR2.;['Blue_Mountain_State', 'MTV'];"['Blue Mountain State er en amerikansk komedieserie, som havde premiere i amerikansk TV på Spike d. 11. januar 2010. I Danmark vises serien på MTV, hvor dens første sæson havde premiere d. 18. april 2010. ""Blue Mountain State"" produceres af Lionsgate Television.', 'MTV (fork. for ""Music Television"") er en tv-station, hvis sendeflade primært tidligere var fokuseret på musik, såsom visning af musikvideoer. I USA havde MTV sin første udsendelse den 1. august 1981 i New York City.']";Refuted
227;Kosuke Nakamura er en amerikansk fodboldspiller.;['Kosuke_Nakamura'];['Kosuke Nakamura (født 27. februar 1995) er en japansk fodboldspiller.'];Refuted
2124;Ivan Runje spiller for en klub i sit hjemland.;['Ivan_Runje', 'Kroatien', 'Jagiellonia_Białystok'];"['Ivan Runje (født 9. oktober 1990) er en kroatisk fodboldspiller, der spiller for den polske klub Jagiellonia Białystok.', 'Kroatien ""()"" er et land i Centraleuropa og tidligere republik i Jugoslavien. Landets areal udgør 56.542\xa0km². Kroatien omfatter den dalmatiske kyst, øerne i Adriaterhavet og Slavonien ""(Slavonija)"" – en del af den nordlige lavslette i det tidligere Jugoslavien. Mod nord grænser Kroatien op til Slovenien, mod syd til Bosnien og Hercegovina, Montenegro og Serbien, mod vest til Adriaterhavet, og mod øst også til Serbien og Montenegro. Et af de mest besøgte steder, foruden Adriaterhavets kyst, er Plitvice-søerne.', 'Jagiellonia Białystok (polsk udtale: [jaɡ ʲ ɛlɔɲa b ʲ awɨstɔk]) er en polsk fodboldklub.']";Refuted
2118;Christian Horrebow var en dansk amtmand.;['Christian_Horrebow', 'astronom'];['Christian Horrebow (født 15. april 1718 i København, død 19. september 1776 sammesteds) var en dansk astronom.', 'En astronom beskæftiger sig videnskabeligt med og er uddannet inden for astronomi.'];Refuted
2114;Ivan Runje spiller for det polske fodboldlandshold.;['Ivan_Runje', 'Kroatien'];"['Ivan Runje (født 9. oktober 1990) er en kroatisk fodboldspiller, der spiller for den polske klub Jagiellonia Białystok.', 'Kroatien ""()"" er et land i Centraleuropa og tidligere republik i Jugoslavien. Landets areal udgør 56.542\xa0km². Kroatien omfatter den dalmatiske kyst, øerne i Adriaterhavet og Slavonien ""(Slavonija)"" – en del af den nordlige lavslette i det tidligere Jugoslavien. Mod nord grænser Kroatien op til Slovenien, mod syd til Bosnien og Hercegovina, Montenegro og Serbien, mod vest til Adriaterhavet, og mod øst også til Serbien og Montenegro. Et af de mest besøgte steder, foruden Adriaterhavets kyst, er Plitvice-søerne.']";Refuted
2113;Blue Montain State vises aldrig i Europa.;['Blue_Mountain_State'];"['Blue Mountain State er en amerikansk komedieserie, som havde premiere i amerikansk TV på Spike d. 11. januar 2010. I Danmark vises serien på MTV, hvor dens første sæson havde premiere d. 18. april 2010. ""Blue Mountain State"" produceres af Lionsgate Television.']";Refuted
2110;Hans Rantzau var et holstensk godstog.;['Hans_Rantzau_(ca._1685-1744)', 'godsejer'];['Hans Rantzau (ca. 1685 – 19. oktober 1744) var en holstensk godsejer og amtmand.', 'En godsejer var tidligere en person, der ejede et gods dvs. en samling af landejendomme, hvortil der hørte fæstegods, men bruges i dag også om ejeren af en enkelt herregård. Borgerlige har siden enevældens indførelse haft ret til at eje godser, men de fleste godsejere har traditionelt tilhørt adelen. En fjerdedel af Danmarks ca. 800 herregårde ejes dog stadig af adelen.'];Refuted
230;Adam Sandler og Emily Watson spiller ikke med i den samme film.;['Punch-Drunk_Love'];['Filmen har Adam Sandler, Emily Watson, Philip Seymour Hoffman, Luis Guzmán og Mary Lynn Rajskub på rollelisten.'];Refuted
2105;Irene af Grækenland blev født den 15. april 1974.;['Irene_af_Grækenland_(1904-1974)'];['Prinsesse Irene af Grækenland og Danmark () (født 13. februar 1904, død 15. april 1974), var en græsk prinsesse, der var hertuginde af Aosta og titulær dronning af Kroatien fra 1941 til 1943.'];Refuted
2101;Selangor er et kongerige i Malaysia.;['Selangor'];['Selangor er et sultanat på Malacca-halvøen, der indgår som en delstat i den malaysiske føderation – kendt som Malaysia.'];Refuted
2098;Kirsten Roelshøj vandt 12 Oscars mellem 1953 og 1955.;['Kirsten_Roelshøj'];['Kirsten Roelshøj gift Sell (6. marts 1935) var en dansk atlet medlem af AIK 95 som 1955 satte dansk rekord i femkamp med 2832 point og vandt 12 danske mesterskaber under kun tre sæsoner 1953-1955.'];Refuted
2131;Blue Montain State blev produceret i Danmark af TV-kanalen MTV.;['Blue_Mountain_State'];"['Blue Mountain State er en amerikansk komedieserie, som havde premiere i amerikansk TV på Spike d. 11. januar 2010. I Danmark vises serien på MTV, hvor dens første sæson havde premiere d. 18. april 2010. ""Blue Mountain State"" produceres af Lionsgate Television.']";Refuted
2046;Båndhalet skægstrube er en kolibriart som vejer ca. 5 kilogram.;['Båndhalet_skægstrube'];"['Båndhalet skægstrube(""Threnetes ruckeri"") er en af de cirka 339 forskellige arter af kolibrier. Hunnen lægger 2 hvide æg og udruger dem alene. Fuglen er 10,2 til 11 cm lang og vejer 5-5,8 gram.']";Refuted
244;Celso Luis Gomes er en tidligere svensk foldboldspiller.;['Celso_Luis_Gomes'];['Celso Luis Gomes (født 2. september 1964) er en tidligere brasiliansk fodboldspiller.'];Refuted
2157;"""Kode 291"" blev brugt af svenske migranter for gemme sager om politi i landet.";['Kode_291'];"['""Kode 291"" er en kode, som svensk politi anvender for at skjule politisager som involverer nyankomne migranter i Sverige. Koden påføres rapporter om sådanne sager for at forhindre, at pressen og offentligheden får indsigt i dem.']";Refuted
258;Niels Bohr-medaljen blev stiftet i anledning af Bjarne Riis 70-års fødselsdag.;['Niels_Bohr-medaljen'];['Niels Bohr-medaljen blev indstiftet i 1955, i anledning af Niels Bohrs 70-års fødselsdag, af den daværende Dansk Ingeniørforening, nu Ingeniørforeningen i Danmark, med henblik på årlig uddeling.'];Refuted
1964;Ekspanderet polystyren er en polymer som findes i vin.;['Polystyren_(ekspanderet)'];['Ekspanderet polystyren, EPS, er en opskummet polymer fremstillet af styren. Materialet bruges som isoleringsmateriale og stødabsorber i bl.a. cykelhjelme og diverse emballager. I Danmark kendes materialet også under navnet Flamingo. Navnet Flamingo er oprindeligt navnet på det firma, som gjorde polystyren landskendt i Danmark som pakkefyld, specialformede møbler osv. I dag ejes varemærket Flamingo af emballageproducenten BEWi Flamingo, som er en af de mange producenter, der hele tiden udvikler på materialet og dets formål. Løse polystyrenkugler blev tidligere kaldt Krøyerkugler). Formstøbt anvendes polystyrenet i store mængder til termisk isolering i byggeri og industri, støddæmpende emballage, kofangere og styrthjelme.'];Refuted
1412;Sicko er en dokumentarfilm med et kritisk fokus på private fødselsdagsfester.;['Sicko', 'sygesikring'];['Sicko er en dokumentarfilm fra 2007 af den amerikanske filmproducer og -instruktør Michael Moore. Med kritisk fokus på de private sygeforsikringsselskaber undersøger filmen USAs sundhedsvæsen, som sammenlignes med den lovregulerede kollektive sygesikring i  Canada, Storbritannien, Frankrig og Cuba.', 'Sygesikring er en offentlig ordning, der garanterer borgerne gratis eller delvist brugerbetalt behandling i tilfælde af sygdom.'];Refuted
1963;Softguns findes både i variation som pistol og kanon.;['Softgun'];['Softguns er våben (markører) der skyder med 6 mm plastikkugler, og er tro kopier af rigtige våben. De findes både som pistoler og geværer.'];Refuted
1962;Ekspanderet polystyren er en polymer som findes bl.a. i isolering, kofangere og cykelhjelme.;['Polystyren_(ekspanderet)'];['Ekspanderet polystyren, EPS, er en opskummet polymer fremstillet af styren. Materialet bruges som isoleringsmateriale og stødabsorber i bl.a. cykelhjelme og diverse emballager. I Danmark kendes materialet også under navnet Flamingo. Navnet Flamingo er oprindeligt navnet på det firma, som gjorde polystyren landskendt i Danmark som pakkefyld, specialformede møbler osv. I dag ejes varemærket Flamingo af emballageproducenten BEWi Flamingo, som er en af de mange producenter, der hele tiden udvikler på materialet og dets formål. Løse polystyrenkugler blev tidligere kaldt Krøyerkugler). Formstøbt anvendes polystyrenet i store mængder til termisk isolering i byggeri og industri, støddæmpende emballage, kofangere og styrthjelme.'];Refuted
1960;Iisgård nævntes første gang i 1900, da gården tilhørte biskop Vognsen.;['Iisgård'];['Iisgård er en gammel gård, som nævnes første gang i 1200, da gården utvivlsomt har tilhørt biskop Skjalm Vognsen død i 1215, gården blev kaldt for Egsgaard. Iisgård ligger i Tved Sogn i Syddjurs Kommune. Hovedbygningen er opført i 1890.'];Refuted
1959;Beckett & Meyer blev grundlagt af St. Boris, som blev født på St. Crois i 1843.;['Beckett_&_Meyer'];"['Beckett & Meyer var et dansk grossistfirma grundlagt 9. marts 1866 af Louis Meyer (1843-1929) og H.L. Beckett (født 1843 på St. Croix, død 1902). Sidstnævnte udtrådte af firmaet 1879, og i 1882 indtrådte Arnold Abrahamson (1830-1910). I 1906 optoges Louis Meyers søn, Ernst Meyer (1870-1945) i firmaet, og samtidig udtrådte A. Abrahamson; fra 1929 til sin død var Ernst Meyer eneindehaver af firmaet; efter hans død overtoges det af hans søn, direktør, civilingeniør Knud Meyer (1901-1989).']";Refuted
1958;Provenceposten magasinet blev udgivet i en periode fra 2003 til 2020.;['Provenceposten'];['Provenceposten var et dansksproget månedsmagasin, der blev udgivet i perioden januar 2005 – december 2008.'];Refuted
1957;Telegramtyvenes instruktør er Lars Ranthe.;['Telegramtyvene'];['Telegramtyvene er en film instrueret af ubekendt.'];Refuted
1953;Telegramtyvenes instruktør er Signe Lindkvist.;['Telegramtyvene'];['Telegramtyvene er en film instrueret af ubekendt.'];Refuted
1966;Iisgård nævntes første gang i 1200, da gården tilhørte Pave Vognsen.;['Iisgård'];['Iisgård er en gammel gård, som nævnes første gang i 1200, da gården utvivlsomt har tilhørt biskop Skjalm Vognsen død i 1215, gården blev kaldt for Egsgaard. Iisgård ligger i Tved Sogn i Syddjurs Kommune. Hovedbygningen er opført i 1890.'];Refuted
1951;Softguns findes både i variation som pistol og granater.;['Softgun'];['Softguns er våben (markører) der skyder med 6 mm plastikkugler, og er tro kopier af rigtige våben. De findes både som pistoler og geværer.'];Refuted
1949;Nordkoreas administrative inddeling består af fem administrative niveauer.;['Nordkoreas_administrative_regioner'];"['Nordkoreas administrative inddeling består af tre administrative niveauer. Den øverste niveau er ni provinser (""do"", Hangul: �, Hanja: �), to direktstyrede byer (""chikhalsi"" Hangul: �할시, Hanja: 直轄市) og tre administrative regioner. Andet og tredje administrative inddelninger er opdelte i flere mindre områder.']";Refuted
1948;Beckett & Meyer blev grundlagt af H.L. Beckett, som blev født på St. Croix i 1888.;['Beckett_&_Meyer'];"['Beckett & Meyer var et dansk grossistfirma grundlagt 9. marts 1866 af Louis Meyer (1843-1929) og H.L. Beckett (født 1843 på St. Croix, død 1902). Sidstnævnte udtrådte af firmaet 1879, og i 1882 indtrådte Arnold Abrahamson (1830-1910). I 1906 optoges Louis Meyers søn, Ernst Meyer (1870-1945) i firmaet, og samtidig udtrådte A. Abrahamson; fra 1929 til sin død var Ernst Meyer eneindehaver af firmaet; efter hans død overtoges det af hans søn, direktør, civilingeniør Knud Meyer (1901-1989).']";Refuted
1947;Estremoz har et befolkningstal på cirka 20 000 indbyggere.;['Estremoz'];['Estremoz (udtales IPA []) er en kommune i Portugal med et samlet areal på 514.0 km² og et samlet befolkningstal på 15.064 indbyggere.'];Refuted
1946;Beckett & Meyer blev grundlagt af H.L. Beckett, som blev født på Island i 1843.;['Beckett_&_Meyer'];"['Beckett & Meyer var et dansk grossistfirma grundlagt 9. marts 1866 af Louis Meyer (1843-1929) og H.L. Beckett (født 1843 på St. Croix, død 1902). Sidstnævnte udtrådte af firmaet 1879, og i 1882 indtrådte Arnold Abrahamson (1830-1910). I 1906 optoges Louis Meyers søn, Ernst Meyer (1870-1945) i firmaet, og samtidig udtrådte A. Abrahamson; fra 1929 til sin død var Ernst Meyer eneindehaver af firmaet; efter hans død overtoges det af hans søn, direktør, civilingeniør Knud Meyer (1901-1989).']";Refuted
1939;Stalagmit betegner en drypsten som kan findes i drypstenshuler.;['Stalagmit'];"['Stalagmit (fra græsk: Σταλαγμίτης, ""stalagmites"", ""dryp"" eller ""dråbe"") betegner en bestemt type drypsten, der kan findes i en kalkstenshule.']";Refuted
1938;Fanø Bad er et ferieområde med sommerhuse, feriehoteller, og badeland.;['Fanø_Bad'];['Fanø Bad er et ferieområde på Fanø. Den ligger ca 1,5 km nord for Rindby ud til stranden. De gamle badehoteller er for længst revet ned og nye sommerhuse, feriehoteller, ferielejligheder er opført. Der er også butikker, restaurant, golfplads og isbutikker.'];Refuted
1936;Lady Dorothy Browne og Sir Thomas Browne er en blyantstegning som man tror er afsluttet mellem 1641 og 1650.;['Lady_Dorothy_Browne_and_Sir_Thomas_Browne'];['Lady Dorothy Browne og Sir Thomas Browne er et olie-på-panel maleri, som tilskrives den engelske kunstner Joan Carlile og formentlig afsluttet mellem 1641 og 1650. Maleriet skildrer den engelske læge Thomas Browne og hans kone Dorothy.'];Refuted
1935;Erta Ale er en vulkan som ligger på Island.;['Erta_Ale', 'Etiopien'];['Erta Ale er en aktiv basaltisk vulkan i Afarregionen i det nordøstlige Etiopien og er en af de mest aktive vulkaner i Etiopien. Vulkanen ligger i Danakilørkenen i Afar-riften, som er en forsænkning i jordskorpen, som strækker sig over grænsen til Eritrea. Området omkring vulkanen ligger under havniveau og er et af de lavest liggende områder i verden.', 'Etiopien, officielt Den Føderale Demokratiske Republik Etiopien ( ()), er et land i Afrika. Landet har fire større floder: Den Blå Nil, Omo, Awash og Wabe Shebelle. Den Blå Nil udmunder i Middelhavet, de øvrige udmunder enten i søer eller opløses i ørkensandet.'];Refuted
1934;Sosigenes var skribent for Julius Cæsar.;['Sosigenes'];['Sosigenes var fra Grækenland og en af Julius Cæsars rådgivere.'];Refuted
1932;The Lost Album er i Europa kendt som Elvis' Greatest Hits.;['The_Lost_Album'];"['The Lost Album er et album med Elvis Presley udsendt på RCA i november 1990. Albummet er i Europa bedst kendt under titlen ""For The Asking"".']";Refuted
1950;Nike er en græsk gudinde, der i romersk mytologi hedder Venus.;['Nike_(mytologi)'];['Nike er sejrens gudinde i græsk mytologi. Den tilsvarende gudinde i romersk mytologi er Victoria.'];Refuted
1968;Estremoz har et befolkningstal på cirka 5000 indbyggere.;['Estremoz'];['Estremoz (udtales IPA []) er en kommune i Portugal med et samlet areal på 514.0 km² og et samlet befolkningstal på 15.064 indbyggere.'];Refuted
1975;Skibsmekanikere beskæftiger sig med vedligeholdelse og reperation af skibe så de ikke sejler optimalt.;['Skibsmekaniker'];['En skibsmekaniker er en type mekaniker, der beskæftiger sig med vedligeholdelse og reperation af motorer og øvrige tekniske anlæg på skibe, bl.a. skfter skibsmekanikeren filtre og lejer, således at skibet hele tiden sejler optimalt.'];Refuted
1978;Under deres tid i New York var Los Angeles Dodgers kendt som New York Dodgers.;['Los_Angeles_Dodgers'];['Los Angeles Dodgers (fra tiden i New York kendt som Brooklyn Dodgers) er et amerikansk baseballhold fra Los Angeles i Californien, der spiller i MLB-ligaen. Brewers hører hjemme i Western Division i National League og spiller sine hjemmekampe på Dodger Stadium.'];Refuted
245;Os er en kommune i Danmark.;['Os_(Hedmark)'];['Os er en kommune i Innlandet fylke i Norge.'];Refuted
2042;Båndhalet skægstrube er en kolibriart som er 3 meter høj.;['Båndhalet_skægstrube'];"['Båndhalet skægstrube(""Threnetes ruckeri"") er en af de cirka 339 forskellige arter af kolibrier. Hunnen lægger 2 hvide æg og udruger dem alene. Fuglen er 10,2 til 11 cm lang og vejer 5-5,8 gram.']";Refuted
247;Gesiel José de Lima er en tidligere brasiliensk præsident.;['Gesiel_José_de_Lima'];['Gesiel José de Lima (født 8. december 1968) er en tidligere brasiliansk fodboldspiller.'];Refuted
2039;Västergötlands museum har kun midlertidige udstillinger.;['Västergötlands_museum'];"['Västergötlands museum er et museum i Skara i Västergötland. Det drives af Västra Götalandsregionen for Stiftelsen Västergötlands museum. Der vises blandt andet flere af fröslundaskjoldene. Det er tolv skjolde fra offerfund fra bronzealderen, der blev fundet på Kållandsö 1985. Museet har også en permanent udstilling, som viser Skara i middelalderen. Et frilandsmuseum – ""Fornbyn"" – hører også til museet.']";Refuted
248;Celso Luis Gomes er en tidligere dansk badmintonspiller.;['Celso_Luis_Gomes'];['Celso Luis Gomes (født 2. september 1964) er en tidligere brasiliansk fodboldspiller.'];Refuted
2031;Landing Ship Tanks har til formål at understøtte hjerteoperationer under 2. verdenkrig.;['Landing_Ship_Tank'];"['Landing Ship Tank (""LST"") var den militære betegnelse for et stort antal landgangsskibe, som blev bygget under 2. Verdenskrig til støtte i amfibieoperationer ved at fremføre et betydeligt antal køretøjer, forsyninger og tropper direkte til invasionskysten.']";Refuted
251;Urula er en flod som løber ud af den franske sø Sperillen.;['Urula', 'Sperillen'];['Urula er en flod som løber ud i nordenden af søen Sperillen, lige syd for Nes i Ådal i Ringerike kommune i Norge.', 'Sperillen er en sø som ligger i Ådal i Ringerike Kommune, Buskerud Fylke i Norge. I nord har søen tilløb fra floderne Begna og Urula. I syd er den reguleret med en dæmning ved Ringmoen, og afløbet danner Ådalselven, som siden løber sammen med Randselven neden for Hønefossen i Hønefoss og danner Storelven. Søen har et areal på ca. 37\xa0km² og strækker sig ca. 26\xa0km i længden. Vandspejlet ligger ca. 150 moh., og største dybde er ca. 123\xa0m.'];Refuted
253;Niels Bohr-medaljen blev stiftet i anledning af Niels Bohrs 80-års fødselsdag.;['Niels_Bohr-medaljen'];['Niels Bohr-medaljen blev indstiftet i 1955, i anledning af Niels Bohrs 70-års fødselsdag, af den daværende Dansk Ingeniørforening, nu Ingeniørforeningen i Danmark, med henblik på årlig uddeling.'];Refuted
255;Algeriet deltog i Sommer-OL 2008 i London.;['Algeriet_ved_sommer-OL_2008'];['Algeriet deltager i Sommer-OL 2008 i Beijing.'];Refuted
2013;Baguirmi grænser mod Tchad.;['Baguirmi'];['Baguirmi er et af de tre departementer, som udgør regionen Chari-Baguirmi i Tchad.'];Refuted
2012;Dansk-Estisk Selskab havde til formål at kolonisere Estland for Kongeriget Danmark.;['Dansk-Estisk_Selskab'];"['Dansk-Estisk Selskab blev stiftet 1990 som dansk-estisk venskabsforening. Foreningens formål er at understøtte og fremme initiativer, som bidrager til venskab og samarbejde mellem Danmark og Estland. Foreningen afholder forskellige konferencer og møder om dansk-estisk historie, poltitik og erhvervsliv og udgiver tidsskriftet ""DES-Nyt"".']";Refuted
2010;Châlons-en-Champagne er en hvidvin fra departementet Marne i Frankrig.;['Châlons-en-Champagne'];['Châlons-en-Champagne er en mindre fransk provinsby. Den er hovedsæde i departementet Marne.'];Refuted
2007;Dansk-Estisk Selskab har til formål at ødelægge venskab og samarbejde mellem Danmark og Estland.;['Dansk-Estisk_Selskab'];"['Dansk-Estisk Selskab blev stiftet 1990 som dansk-estisk venskabsforening. Foreningens formål er at understøtte og fremme initiativer, som bidrager til venskab og samarbejde mellem Danmark og Estland. Foreningen afholder forskellige konferencer og møder om dansk-estisk historie, poltitik og erhvervsliv og udgiver tidsskriftet ""DES-Nyt"".']";Refuted
2003;Baguirmi er en af de tre byer som udgør regionen Chari-Baguirmi i Tchad.;['Baguirmi'];['Baguirmi er et af de tre departementer, som udgør regionen Chari-Baguirmi i Tchad.'];Refuted
1999;Châlons-en-Champagne er en storby i Marne.;['Châlons-en-Champagne'];['Châlons-en-Champagne er en mindre fransk provinsby. Den er hovedsæde i departementet Marne.'];Refuted
1998;John Blake vandt medaljer i de olympiske lege 1908 i London, 1912 i Stockholm og 1920 i Amsterdam.;['John_Blake'];['John Blake (13. november 1874 i Richmond – 19. december 1950) var en britisk fægter som deltog i de olympiske lege 1908 i London, 1912 i Stockholm og 1920 i Antwerpen.'];Refuted
1997;Johannes Tiedje var en tysk-slesvigsk politiker og præst.;['Johannes_Tiedje'];['Johannes Tiedje (7. oktober 1879 i Skrydstrup ved Haderslev – 19. maj 1946 i Flensborg) var en tysk religiøs forfatter og tysk-slesvigsk politiker.'];Refuted
1996;Fanndís Friðriksdóttir er en islandsk fodboldspiller der spiller forsvar.;['Fanndís_Friðriksdóttir'];['Fanndís Friðriksdóttir (født 9. maj 1990) er en islandsk fodboldspiller, der spiller som midtbanespiller for Breiðablik og for Islands landshold.'];Refuted
1995;Albertas hovedstadt, Edmonton, har et areal på 900 km².;['Edmonton'];['Edmonton er en canadisk by og hovedstad i provinsen Alberta. Byen, der har et areal på 670 km², er en af de arealmæssigt største i Nordamerika og har indbyggere.'];Refuted
1990;Under en kovending på en sejlbåd drejes bådens forstavn ind mod vindens retning.;['Kovending_og_stagvending'];"[""En kovending er en vending med en sejlbåd, hvor man drejer bådens forstavn væk fra vindens retning, så man på et tidspunkt har vinden ind lige bagfra. Sejler man med sejl, hvis ene side er fastgjort til eller tæt på masten slår sejlet pludseligt over, og det kaldes at 'bomme'.""]";Refuted
1985;Albertas hovedstadt, Stockholm, har et areal på 670 km².;['Edmonton', 'Alberta'];['Edmonton er en canadisk by og hovedstad i provinsen Alberta. Byen, der har et areal på 670 km², er en af de arealmæssigt største i Nordamerika og har indbyggere.', 'Alberta er en canadisk provins. Den ligger i Vest-Canada. Vigtige byer er blandt andre hovedstaden Edmonton, og Calgary.'];Refuted
1983;Tysk maler Peter von Cornelius er bror til forfatter Peter Cornelius.;['Peter_von_Cornelius'];['Peter von Cornelius (født 23. september 1783 i Düsseldorf, død 6. marts 1867 i Berlin) var en tysk maler. Han var farbror til komponisten Peter Cornelius.'];Refuted
1980;Tysk maler Peter von Cornelius er bror til komponist Peter Cornelius.;['Peter_von_Cornelius', 'Peter_Cornelius_(komponist)'];['Peter von Cornelius (født 23. september 1783 i Düsseldorf, død 6. marts 1867 i Berlin) var en tysk maler. Han var farbror til komponisten Peter Cornelius.', 'Peter Carl August Cornelius (født 24. december 1824 i Mainz, død 26. oktober 1874 sammesteds) var en tysk komponist, digter, musikskribent og oversætter. Han var brorsøn til maleren Peter von Cornelius.'];Refuted
1410;Ribe bispedømme havde oprindeligt både en dansk og en tysk pave.;['Ribes_bisperække', 'biskop'];['Ribe bispedømme blev oprettet i 948 eller kort tid før under kong Gorm. Oprindeligt var der to biskopper på Ribe bispesæde, en dansk biskop og en tysk biskop, som befandt sig i eksil i Bremen.', 'Biskop (eller bisp) er overhovedet i et stift, det kirkelige geografiske område. Biskoppen virker også som den ledende præst ved stiftets domkirke.'];Refuted
2159;Vagabonden handler om svenske migranter som indvikles i politisager.;['Vagabonden_(dansk_film)'];['Vagabonden er en dansk film fra 1940, instrueret af Arne Weel efter et manuskript af Peer Guldbrandsen. Filmen handler om en skærsliber-original (Carl Alstrup), der indvikles i en drabssag. Musikken er komponeret af Emil Reesen.'];Refuted
1400;Yes Man er en film med Will Smith i hovedrollen.;['Yes_Man', 'Jim_Carrey'];"['Yes Man er en amerikansk filmkomedie fra 2008. Den blev instrueret af Peyton Reed, og Jim Carrey spiller hovedrollen som Carl Allen.', 'Jim Carrey (født James Eugene Carrey den 17. januar 1962 i Newmarket, Ontario, Canada) er en canadisk skuespiller, komiker, manuskriptforfatter og filmproducer. Han er mest kendt for sine komedier og gummiansigt i film som """" (1994), ""The Mask"" (1994), ""Fuld af løgn"" (1997), ""Jeg, mig & Irene"" (2000), ""Bruce Almighty"" (2003), ""Fun with Dick and Jane"" (2005), og ""Yes Man"" (2008). Carrey har også fået gode anmeldelser og opnået kommerciel succes i dramaroller i film som ""The Truman Show"" (1998) og ""Evigt solskin i et pletfrit sind"" (2004).']";Refuted
1930;Erta Ale er en vulkan som ligger i Italien.;['Erta_Ale', 'Etiopien'];['Erta Ale er en aktiv basaltisk vulkan i Afarregionen i det nordøstlige Etiopien og er en af de mest aktive vulkaner i Etiopien. Vulkanen ligger i Danakilørkenen i Afar-riften, som er en forsænkning i jordskorpen, som strækker sig over grænsen til Eritrea. Området omkring vulkanen ligger under havniveau og er et af de lavest liggende områder i verden.', 'Etiopien, officielt Den Føderale Demokratiske Republik Etiopien ( ()), er et land i Afrika. Landet har fire større floder: Den Blå Nil, Omo, Awash og Wabe Shebelle. Den Blå Nil udmunder i Middelhavet, de øvrige udmunder enten i søer eller opløses i ørkensandet.'];Refuted
1378;Indlån kendes også som 'SU-lån'.;['Indlån'];['Indlån eller indskud er penge til brug for hverdagsforretninger, som individer eller organisationer har placeret i et pengeinstitut eller på pengemarkedet. Pengene placeres typisk på en indlånskonto.'];Refuted
2301;Slagelse Provsti blev dannet i 2014, da det tidligere Slagelse Provsti blev sammenlagt med Roskilde Provsti.;['Slagelse_Provsti'];['Slagelse Provsti er et provsti i Roskilde Stift. Provstiet blev dannet 1. januar 2014 ved en sammenlægning af Slagelse Provsti (før 2014) og Skælskør Provsti og hed indtil 1. januar 2016 Slagelse-Skælskør Provsti.'];Refuted
2300;Oprindeligt blev Stanley Cup givet til det bedste amatør-ishockeyhold i Canada, men i dag gives trofæet til vinderen af Spice Girls.;['Stanley_Cup'];"[""Stanley Cup'en er det trofæ der gives til vinderen af National Hockey League, NHL, den bedste nordamerikanske ishockeyliga. Det blev doneret af Lord Stanley af Preston i 1892. Trofæet var oprindeligt kendt under navnet Dominion Hockey Challenge Cup og blev givet til det bedste amatør-ishockeyhold i Canada. Siden 1926 har det dog de facto været at betragte som et trofæ der blev givet til vinderen af NHL.""]";Refuted
2299;Ida Nicolaisen er lektor ved Nordisk Institut for Asienstudier ved P3.;['Ida_Nicolaisen'];['Agnes Ida Benedicte Nicolaisen (født 10. juni 1940 i Hellerup) er en dansk antropolog og lektor ved Nordisk Institut for Asienstudier ved Københavns Universitet.'];Refuted
2298;"Alice Connor blev udvalgt af Scary Spice til at spille den unge Posh Spice i musikvideoen til Spice Girls ""Mama"".";['Alice_Connor'];"['Alice Connor (født 2. august 1990 i Buckinghamshire) er en engelsk skuespillerinde. Hun startede med skuespil i en ganske ung alder da hun optrådte i mange episoder af ""Fun Song Factory"". Alice har også spillet den unge ""Posh Spice"" i pop-videoen til Spice Girls ""Mama"" efter at hun var blevet plukket ud blandt mange børn af Victoria ""Posh Spice"" selv. Hun har før spillet med blandt andet Art Malik, Kenneth Branagh, Courteney Cox og Heather Graham i ""Alien Love Triangle"" og med den unge Keira Knightley i ""Coming Home"".']";Refuted
